id,title,authors,year,source,doi,code,exclusion_reason,snowballing_value,background_pool_c8,make
R0001,"A cooperative digital twin–multi-agent reinforcement learning for circular supply chains: balanced control across production, logistics, and sustainability",Guzmán E.; Andrés B.; Torres-Polo M.,2026,Scopus,10.1016/j.cie.2026.112044,I,,,,
R0002,The Role of AI and Emerging Technologies in Enhancing Energy Security and Resilience in the Arabian Gulf,Shakra R.B.,2026,Scopus,10.1007/978-3-032-19354-4_27,E1,No digital twin/model,,,
R0003,From Traditional to Digital: A Simulation-Based Approach on the Digital Transformation of MultiTier Automotive Parts Supply Chain Based on Cloud SCM Platform,Dong Y.; Jin S.,2026,Scopus,10.1109/iconic67661.2026.11517868,I,,,,
R0004,An AI-Driven Optimization Framework for Sustainable E-Waste Management and Resource Utilization,Chauhan P.; Adhana D.K.; Saxena M.,2026,Scopus,10.1109/icbdml68582.2026.11544180,I,,,,
R0005,Applying AI and machine learning to refrigeration for efficiency and asset management,Dickison A.,2026,Scopus + WoS,10.1007/s10098-026-03455-2,E1,No digital twin/model,,,
R0006,AI IN FOOD SUPPLY CHAIN MANAGEMENT: A COMPREHENSIVE ANALYSIS; [SZTUCZNA INTELIGENCJA W ZARZĄDZANIU ŁAŃCUCHEM DOSTAW ŻYWNOŚCI: KOMPLEKSOWA ANALIZA],Krishnasamy J.R.; Nawaz N.; Singh Dharmaraj S.; Srinivasagam P.D.; Anandhan H.,2026,Scopus + WoS,10.17512/pjms.2026.33.1.10,E4,Wrong publication type,medio,,
R0007,"Sustainable digitalization of manufacturing supply chains: An integrated framework for resilience, efficiency, and circularity",Mohsen B.M.; Nahleh Y.A.; Mohsen M.,2026,Scopus + WoS,10.1016/j.clscn.2026.100325,E4,Wrong publication type,bajo,,
R0008,Digital twin framework for electric truck route and infrastructure planning in the Nordic region,Kaarlela T.; Alekseev S.; Maljamäki P.; Ikäheimo E.; Kurvinen E.,2026,Scopus,10.1016/j.treng.2026.100426,I,,,,
R0009,Logistics equipment condition monitoring and prediction based on digital twin and machine learning,Han F.; Liu L.; Sun J.,2026,Scopus + WoS,10.1038/s41598-026-43380-4,I,,,,
R0010,Artificial Intelligence Accelerates Low Carbon Transformation of Thermal Power Plants,Zhang Y.; Zhu Y.; Zhu Z.; Xia X.; Yuan Z.; Liu J.,2026,Scopus,10.1007/978-981-95-7932-7_11,E4,Wrong publication type,bajo,,
R0011,"Toward Industry 6.0: The Ecosystem Age, superintelligence, viability, and OR-AI symbiosis",Ivanov D.,2026,Scopus + WoS,10.1016/j.cor.2026.107563,I,,,,
R0012,Digital Twin Based Framework to Enhance the Environmental Sustainability of Supply Chains,Geethani M.; Kulatunga A.; Dharmapriya S.,2026,Scopus + WoS,10.1007/978-3-032-21157-6_23,I,,,,
R0013,A surrogate-based explainability framework with semantic abstraction for human-centred supply chain intelligence,Padovano A.; Sammarco C.; Tripudio E.; Morinaga E.,2026,Scopus + WoS,10.1016/j.sca.2026.100221,I,,,,
R0014,Industry 4.0 Indicators and Sustainability Factors to Improve the Efficiency of Indian Process Industries: An Empirical Study,Brar P.S.; Singh D.; Bhamu J.,2026,Scopus,10.22201/icat.24486736e.2026.24.2.2945,E1,No digital twin/model,,,
R0015,Real-Time Supply Chain Visibility via Integrated IoT and AI,Farag W.A.,2026,Scopus,10.1109/kst67832.2026.11431773,E1,No digital twin/model,,,
R0016,Computational Economics of Circular Construction: Machine Learning and Digital Twins for Optimizing Demolition Waste Recovery and Business Value,Torres-Polo M.; Guzmán Ortíz E.,2026,Scopus + WoS,10.3390/computation14040076,E4,Wrong publication type,medio,,
R0017,Blockchain Implementation in Supply Chains: Analysis Based on Literature Reviews and Case Studies,Staudt F.H.; Machado R.F.; Di Mascolo M.; Alpan G.; Frazzon E.M.,2026,Scopus + WoS,10.1007/978-3-032-19167-0_31,E4,Wrong publication type,bajo,,
R0018,Digital Twin-Enabled Simulation of Tobacco Logistics Distribution Networks,Jin B.; Zhang Y.; Qiu W.; Quan H.,2026,Scopus,10.1109/imed68921.2026.11484180,I,,,,
R0019,Digital twin use-case prioritisation for sustainability in smart manufacturing: A multi-criteria decision analytics approach,Ben Youssef A.; Zeqiri A.; Mbang S.,2026,Scopus + WoS,10.1016/j.seps.2026.102553,E3,No AI/ML component,,,
R0020,Digital Transformation in Port Logistics,Su Z.,2026,Scopus,10.3390/encyclopedia6010028,E1,No digital twin/model,,,
R0021,Digital twins for low-altitude transportation and logistics: A barrier-centric survey of UAV and eVTOL systems,Zhang Y.; Wang Y.; Zhen W.; Wang C.; Qu X.,2026,Scopus + WoS,10.1016/j.tre.2026.105116,E4,Wrong publication type,alto,,
R0022,Beyond efficiency: How process intelligence is transforming supply chain and procurement,Matacena M.,2026,Scopus,10.69554/jlsr4809,E3,No AI/ML component,,medio,
R0023,Integrating Human Factors into Operations Management Education in the Industry 5.0 era,Wu J.; Fang Y.; Wang Y.; Zhao S.; Jiang W.; Li X.; Luo H.; Idris I.S.,2026,Scopus + WoS,10.3791/69833,E1,No digital twin/model,,,
R0024,Artificial intelligence-enabled digital twins for sustainable and carbon-neutral smart port operations,Menachof D.A.; Sayeed S.A.,2026,Scopus + WoS,10.1007/s13437-026-00428-6,I,,,,
R0025,Enabling Non-Simulation Experts to Adapt Digital Twins during Production System Redesign using Agentic AI,Schwede C.; Schipper L.; Cirullies J.,2026,Scopus,10.1145/3802463.3802479,I,,,,Make
R0026,Regulating uncertainty in global supply chains: a cybernetic Digital Twin framework for variety attenuation,Turgut A.,2026,Scopus + WoS,10.1108/k-01-2026-0185,I,,,,
R0027,Data Interoperability in European Product Conformity Management for Circular Supply Chains: Digital Twins and a Legal Knowledge &Data Model for linking law making and product manufacturing,Hilgarth B.; Schicker G.,2026,Scopus,10.1016/j.procs.2026.02.309,E1,No digital twin/model,,,
R0028,Innovation and AI: The Emerging Role of Industrial Engineers,Xie D.; Bidanda B.,2026,Scopus,10.1007/978-981-95-4717-3_20,E1,No digital twin/model,,,
R0029,Digital Twin Model of Smart Transportation and Maritime Systems for Resource Efficiency and Operational Optimization,Kheckert E.V.,2026,Scopus,10.1109/aisei68628.2026.11572832,I,,,,
R0030,Digital Twin-Driven Machine Learning and Physics-Informed Data Augmentation for Clutter-Resilient Chipless RFID Decoding in Smart Logistics,Turgut A.; Kurnaz C.; Korunur Engiz B.; Karadavut M.R.; Turgut A.,2026,Scopus + WoS,10.1109/access.2026.3717950,E1,No digital twin/model,,,
R0031,"Tariffs, transparency, and AI: The ADAPT framework for tariff-ready, audit-proof supply chains",Mehta S.,2026,Scopus,10.69554/otqo6376,E1,No digital twin/model,,,
R0032,Metaverse and sustainability: an overview of research trends and future directions,Jain S.; Sharma P.,2026,Scopus,10.1108/jices-10-2025-0299,E4,Wrong publication type,bajo,,
R0033,Digital Twin based Data Pattern Analysis for IoT-Based Pharmaceutical Production Monitoring,Chowdary N.H.; Prasad Reddy P.V.G.D.; Chittineni S.,2026,Scopus,10.36548/jtcsst.2026.1.001,E2,No supply chain scope,,,
R0034,Enhancing the Reliability of Monopile-Supported Offshore Wind Turbines Through Digital-Twin Framework: State of the Art Review,Khan F.; Tanwar M.; Dammala P.K.; Bhattacharya S.,2026,Scopus + WoS,10.1007/s40098-026-01517-2,E4,Wrong publication type,bajo,,
R0035,Simulation in Forest Engineering: Planning the Next Generation of Forest Operations and Logistics for the Challenges of the XXI Century,Zamora-Cristales R.; Kogler C.; Sessions J.; Väätäinen K.; Contreras M.; Alzamora R.M.; Spinelli R.,2026,Scopus + WoS,10.1007/s40725-026-00268-w,E4,Wrong publication type,bajo,,
